security,num_trades,p900000_trade_value,p950000_trade_value,p990000_trade_value,p999000_trade_value,p999900_trade_value,p999990_trade_value,p999999_trade_value,trade_volume_bin,cluster,final_cluster,trade_volume_bin_rank,sector,industry
AEVA,34,19476.6,55574.99999999997,68256.2,69699.61999999998,69843.96199999997,69858.39619999999,69859.83961999997,15,0.0,15__0,11,Auto-Tires-Trucks,Automotive - Original Equipment
AEYE,22,9905.000000000002,12037.749999999996,15177.809999999996,15903.380999999998,15975.938100000005,15983.193810000002,15983.919381,15,0.0,15__0,11,Computer and Technology,Internet - Software
AFG,1,3750.0,3750.0,3750.0,3750.0,3750.0,3750.0,3750.0,0,2.0,0__2,14,Finance,Insurance - Property and Casualty
AFL,203,14676.000000000007,31639.899999999725,135297.49999999945,175555.95000000007,181378.09500000038,181960.3095000004,182018.53094999996,25,0.0,25__0,9,Finance,Insurance - Accident and Health
AFRM,20582,16335.000000000002,25871.250000000055,67018.04999999987,494480.50000001607,4323537.000001998,4545000.0,4545000.0,45,2.0,45__2,5,Computer and Technology,Internet - Software
AFYA,1,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,0,2.0,0__2,14,Consumer Discretionary,Schools
AG,295,12108.000000000004,15060.000000000002,33233.88000000003,47294.20000000001,47479.41999999999,47497.942000000025,47499.794200000004,25,0.0,25__0,9,Basic Materials,Mining - Silver
AGCO,26,18750.0,29745.000000000004,51765.0,58096.500000000044,58729.649999999965,58792.96500000007,58799.296499999975,15,0.0,15__0,11,Industrial Products,Manufacturing - Farm Equipment
AGEN,45,7735.200000000002,10143.999999999996,13952.000000000004,14625.200000000004,14692.520000000006,14699.252000000004,14699.925199999996,15,0.0,15__0,11,Medical,Medical - Biomedical and Genetics
AGI,151,12299.999999999998,14489.999999999998,24750.0,35256.499999999935,36726.65000000015,36873.66500000007,36888.3665000001,20,0.0,20__0,10,Basic Materials,Mining - Gold
AGIO,28,40000.0,52349.99999999997,88930.00000000001,98892.99999999996,99889.29999999997,99988.92999999998,99998.89300000003,15,0.0,15__0,11,Medical,Medical - Biomedical and Genetics
AGL,11,17989.999999999996,38995.0,55799.000000000015,59579.90000000001,59957.99000000002,59995.799000000006,59999.57990000001,10,0.0,10__0,12,Medical,Medical Services
AGM,2,13820.0,14410.0,14882.0,14988.2,14998.82,14999.882000000001,14999.9882,5,3.0,5__3,13,Finance,Financial - Mortgage & Related Services
AGNC,378,16363.900000000001,34993.0,92300.00000000017,116229.9999999999,119623.00000000028,119962.30000000025,119996.22999999985,25,0.0,25__0,9,Finance,REIT and Equity Trust
AGO,42,5036.0,9018.999999999989,155722.09999999916,240293.21000000072,248750.32099999973,249596.03210000112,249680.6032099993,15,0.0,15__0,11,Finance,Insurance - Multi line
AGRO,7,11880.000000000007,17399.999999999985,21815.99999999999,22809.599999999995,22908.959999999992,22918.896000000008,22919.889600000002,10,0.0,10__0,12,Consumer Staples,Agriculture - Operations
AGX,459,13865.6,22505.999999999996,42420.000000000015,159772.99999999648,213977.30000000188,219397.73000000318,219939.7729999951,25,0.0,25__0,9,Construction,Building Products - Miscellaneous
AGYS,16,9000.0,17350.0,29229.999999999993,31902.99999999999,32170.3,32197.030000000006,32199.702999999976,10,0.0,10__0,12,Computer and Technology,Computer - Integrated Systems
AHCO,5,13076.000000000002,13468.000000000002,13781.600000000002,13852.160000000002,13859.216000000002,13859.921600000001,13859.992160000002,5,3.0,5__3,13,Medical,Medical - Products
AHR,2,10047.5,10336.25,10567.25,10619.225,10624.4225,10624.94225,10624.994225,5,0.0,5__0,13,Finance,REIT and Equity Trust - Other
AHT,1,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,0,2.0,0__2,14,Finance,REIT and Equity Trust - Other
AI,7850,18400.0,38877.599999999686,322260.90000000125,1250167.9799999646,2362466.2050000452,2453981.6205000165,2463133.162049931,40,2.0,40__2,6,Computer and Technology,Computers - IT Services
AIG,758,13786.000000000002,21462.749999999985,38466.74999999977,143611.77000000436,201106.67700000136,206856.16770000107,207431.11676999816,30,2.0,30__2,8,Finance,Insurance - Multi line
AIOT,22,79818.00000000001,89526.0,107774.99999999999,112027.49999999999,112452.75000000003,112495.27500000002,112499.5275,15,0.0,15__0,11,Transportation,Transportation - Services
AIP,9,10792.0,11376.0,11843.2,11948.32,11958.832,11959.8832,11959.98832,10,0.0,10__0,12,Computer and Technology,Internet - Software
AIR,37,7231.5999999999985,9140.0,11371.200000000003,12369.119999999995,12468.912000000004,12478.891199999998,12479.889119999996,15,0.0,15__0,11,Aerospace,Aerospace - Defense Equipment
AIRG,1,8680.000000000002,8680.000000000002,8680.000000000002,8680.000000000002,8680.000000000002,8680.000000000002,8680.000000000002,0,0.0,0__0,14,Computer and Technology,Communication - Components
AIRS,1,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,0,0.0,0__0,14,Business Services,Technology Services
AISP,92,8777.500000000002,11496.750000000005,19439.700000000008,21347.970000000016,21538.796999999995,21557.879700000027,21559.78797000001,20,0.0,20__0,10,Business Services,Technology Services
AIT,58,12348.000000000002,13117.5,21763.0,23866.299999999992,24076.630000000012,24097.663000000015,24099.766300000007,20,0.0,20__0,10,Industrial Products,Manufacturing - General Industrial 
AIZ,4,12078.000000000004,13778.999999999998,15139.8,15445.980000000001,15476.598,15479.659800000005,15479.965980000003,5,3.0,5__3,13,Finance,Insurance - Multi line
AJG,641,10032.0,14868.0,39357.0,101280.00000000006,103728.00000000015,103972.80000000006,103997.2800000001,30,2.0,30__2,8,Finance,Insurance - Brokerage
AKAM,1416,17067.5,25425.0,124250.99999999804,884902.500000006,1170342.000000012,1202434.2000000067,1205643.420000012,30,1.0,30__1,8,Computer and Technology,Internet - Services
AKBA,1,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,0,2.0,0__2,14,Medical,Medical - Drugs
AKR,1,5824.0,5824.0,5824.0,5824.0,5824.0,5824.0,5824.0,0,2.0,0__2,14,Finance,REIT and Equity Trust - Retail
AKRO,395,17113.600000000002,20499.999999999996,46367.20000000002,463006.6239999969,661477.6623999997,681324.76624,683309.476623984,25,0.0,25__0,9,Medical,Medical - Biomedical and Genetics
AL,26,9495.0,11062.499999999998,14875.0,15887.500000000005,15988.749999999995,15998.875000000011,15999.887499999997,15,0.0,15__0,11,Transportation,Transportation - Equipment and Leasing
ALAB,10290,17127.500000000007,27032.999999999953,105061.85000000136,699197.3269999626,1697866.6887000487,3404508.9999997797,3580450.9000003235,40,4.0,40__4,6,Computer and Technology,Internet - Software
ALB,3012,14729.700000000004,24420.0,67926.34999999979,334132.25500000047,532833.0727999766,580460.1072800537,585222.8107279574,35,0.0,35__0,7,Basic Materials,Chemical - Diversified 
ALC,252,42860.50000000001,87299.99999999984,221115.00000000058,337051.2999999999,342405.1299999998,342940.513,342994.0512999995,25,2.0,25__2,9,Medical,Medical - Instruments
ALDX,37,14820.0,16004.999999999985,39623.080000000016,50152.10799999996,51205.01080000004,51310.30107999998,51320.83010799995,15,0.0,15__0,11,Medical,Medical - Drugs
ALEC,24,7549.999999999999,9568.249999999996,48464.34999999998,58846.43500000001,59884.64350000009,59988.46435000008,59998.84643499988,15,0.0,15__0,11,Medical,Medical - Biomedical and Genetics
ALEX,1,9280.000000000002,9280.000000000002,9280.000000000002,9280.000000000002,9280.000000000002,9280.000000000002,9280.000000000002,0,0.0,0__0,14,Finance,REIT and Equity Trust - Other
ALGM,317,15466.000000000022,22635.999999999993,80884.79999999999,660780.0000000012,673578.0000000014,674857.8000000009,674985.7800000001,25,0.0,25__0,9,Computer and Technology,Electronics - Semiconductors
ALGN,1815,15507.6,23992.49999999998,65006.039999999455,266770.3199999986,603622.7280000238,667862.2728000382,674286.2272800128,35,0.0,35__0,7,Medical,Medical - Dental Supplies
ALGS,1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,0,2.0,0__2,14,Medical,Medical - Biomedical and Genetics
ALGT,63,21861.000000000015,25956.0,35995.600000000006,37457.560000000005,37603.756,37618.37560000001,37619.83756,20,0.0,20__0,10,Transportation,Transportation - Airline
ALHC,70,136085.6,157247.3,266164.6000000006,434244.45999999926,451052.44599999953,452733.24460000225,452901.324460001,20,1.0,20__1,10,Medical,Medical Services
ALIT,76,14874.999999999998,26246.25,59375.0,118437.49999999975,124343.7500000006,124934.3750000003,124993.43750000041,20,0.0,20__0,10,Computer and Technology,Internet - Software
ALK,703,18531.00000000001,38152.49999999997,386346.40000000095,1165234.0000000016,1691523.4000000001,1744152.3399999905,1749415.2339999613,30,0.0,30__0,8,Transportation,Transportation - Airline
ALKS,49,40414.40000000006,90895.99999999996,129583.99999999991,137446.39999999994,138232.63999999993,138311.26400000005,138319.12639999998,15,0.0,15__0,11,Medical,Medical - Biomedical and Genetics
ALKT,53,9990.000000000004,15077.999999999993,48407.99999999982,75715.80000000002,78446.57999999987,78719.65800000032,78746.96579999979,15,0.0,15__0,11,Computer and Technology,Internet - Software
ALL,531,19000.0,27775.0,77802.5000000001,253900.00000000192,287290.0000000002,290629.0000000056,290962.89999999816,25,0.0,25__0,9,Finance,Insurance - Property and Casualty
ALLE,6,6220.0,7129.999999999999,7858.0,8021.799999999999,8038.18,8039.817999999999,8039.9818,10,0.0,10__0,12,Industrial Products,Security and Safety Services
ALLO,10,16963.8,19941.899999999994,22324.38,22860.438,22914.043800000003,22919.40438,22919.940437999998,10,0.0,10__0,12,Medical,Medical - Biomedical and Genetics
ALLT,19,10849.2,11321.399999999994,13304.28,13750.427999999998,13795.042800000001,13799.50428,13799.950427999998,15,0.0,15__0,11,Business Services,Technology Services
ALLY,766,18875.0,33816.0,132624.8000000001,279480.0000000023,395147.99999999837,406714.79999999795,407871.47999999986,30,1.0,30__1,8,Finance,Financial - Consumer Loans
ALNY,1086,17515.5,30473.999999999996,93454.65000000027,518924.9999999893,1094501.2499999697,1154800.125000067,1160830.0124999366,30,1.0,30__1,8,Medical,Medical - Biomedical and Genetics
ALRM,14,31440.000000000036,43225.0,45045.0,45454.5,45495.45,45499.545000000006,45499.9545,10,0.0,10__0,12,Industrial Products,Security and Safety Services
ALSN,26,22750.0,38625.0,55500.0,59550.00000000003,59954.99999999998,59995.500000000044,59999.54999999999,15,0.0,15__0,11,Auto-Tires-Trucks,Automotive - Original Equipment
ALT,543,12096.0,16989.0,43540.000000000124,289396.19999998953,459589.6199999871,476608.96200001455,478310.8962000015,25,0.0,25__0,9,Medical,Medical - Drugs
ALTG,2,9889.5,10107.25,10281.45,10320.645,10324.5645,10324.95645,10324.995644999999,5,0.0,5__0,13,Industrial Products,Manufacturing - General Industrial 
ALTO,2,7043.400000000001,7249.2,7413.84,7450.884,7454.5884,7454.95884,7454.995884,5,0.0,5__0,13,Consumer Discretionary,Consumer Products - Discretionary
ALTS,17,8120.000000000001,9840.0,9968.0,9996.8,9999.68,9999.968,9999.9968,10,0.0,10__0,12,Finance,Financial - Miscellaneous Services
ALUR,2,4770.0,4785.0,4797.0,4799.7,4799.97,4799.997,4799.9997,5,0.0,5__0,13,Medical,Medical - Products
ALV,14,7237.500000000001,9157.499999999998,11731.499999999996,12310.65,12368.564999999997,12374.356500000007,12374.935649999996,10,0.0,10__0,12,Auto-Tires-Trucks,Automotive - Original Equipment
ALXO,4,4975.0,4975.0,4975.0,4975.0,4975.0,4975.0,4975.0,5,0.0,5__0,13,Medical,Medical - Biomedical and Genetics
AM,8,6001.499999999999,7000.749999999998,7800.15,7980.015000000001,7998.001499999999,7999.80015,7999.980015,10,0.0,10__0,12,Oils-Energy,Oil and Gas - Integrated - United States
AMAT,14426,16000.0,24738.75,76442.25,211866.3750000144,726610.125000354,993077.7375000517,1003807.7737498999,40,0.0,40__0,6,Computer and Technology,Electronics - Semiconductors
AMBA,540,12000.0,18505.649999999965,31037.50000000005,307489.8000000046,482998.98000000045,500549.89800002886,502304.98979999876,25,0.0,25__0,9,Computer and Technology,Electronics - Semiconductors
AMBC,45,47988.0,90023.99999999985,197470.0,199747.00000000003,199974.7,199997.47,199999.74699999997,15,0.0,15__0,11,Finance,Insurance - Property and Casualty
AMBR,1,20475.0,20475.0,20475.0,20475.0,20475.0,20475.0,20475.0,0,0.0,0__0,14,Business Services,Technology Services
AMC,2192,9695.200000000004,13412.249999999993,25198.020000000055,61591.687000000624,83484.6812000053,88664.46812000174,89182.44681199899,35,0.0,35__0,7,Consumer Discretionary,Leisure and Recreation Services
AMCR,8,8803.199999999999,10323.599999999999,11539.92,11813.592000000002,11840.959200000001,11843.695920000002,11843.969592000001,10,0.0,10__0,12,Industrial Products,Containers - Paper and Packaging
AMCX,7,5996.000000000001,6622.999999999998,7124.5999999999985,7237.459999999999,7248.745999999999,7249.874600000001,7249.98746,10,0.0,10__0,12,Consumer Discretionary,Broadcast Radio and Television
AMD,229239,15000.0,23120.0,60098.61999999999,325198.11999999685,1162437.6390001783,1921334.3400000595,2576631.127484075,55,0.0,55__0,3,Computer and Technology,Computer - Integrated Systems
AME,92,20180.0,45375.00000000005,107181.0,107918.1,107991.81,107999.18100000001,107999.9181,20,0.0,20__0,10,Computer and Technology,Electronics - Testing Equipment
AMED,30,45500.00000000001,63749.99999999993,75000.0,75000.0,75000.0,75000.0,75000.0,15,0.0,15__0,11,Medical,Medical - Outpatient and Home Healthcare
AMG,3,8566.0,9033.0,9406.6,9490.66,9499.066,9499.9066,9499.99066,5,0.0,5__0,13,Finance,Financial - Investment Management
AMGN,8300,16962.000000000007,26565.799999999974,79577.00000000038,433973.49999997916,963584.0406997598,1246294.704070389,1274565.7704066257,40,0.0,40__0,6,Medical,Medical - Biomedical and Genetics
AMH,1,3680.0000000000005,3680.0000000000005,3680.0000000000005,3680.0000000000005,3680.0000000000005,3680.0000000000005,3680.0000000000005,0,2.0,0__2,14,Finance,REIT and Equity Trust - Residential
AMKR,96,16450.0,33208.75,277179.9999999999,311038.00000000006,314423.7999999999,314762.3800000004,314796.23799999995,20,2.0,20__2,10,Computer and Technology,Electronics - Semiconductors
AMLX,2,4427.5,4488.75,4537.75,4548.775,4549.8775,4549.98775,4549.998775,5,0.0,5__0,13,Medical,Medical - Drugs
AMN,52,11093.999999999998,16799.399999999994,30192.190000000028,36724.218999999975,37377.421900000016,37442.74219000002,37449.27421900001,15,0.0,15__0,11,Medical,Medical Services
AMP,187,13296.000000000002,16574.999999999996,28271.599999999973,32430.83999999998,32943.084000000024,32994.308400000016,32999.43083999996,25,0.0,25__0,9,Finance,Financial - Investment Management
AMPL,40,10771.000000000005,14544.0,97349.99999999993,144734.9999999998,149473.4999999998,149947.35000000056,149994.73499999987,15,0.0,15__0,11,Business Services,Technology Services
AMPX,44,9061.500000000002,10152.000000000002,13868.700000000003,16155.870000000004,16384.586999999996,16407.458699999992,16409.745870000013,15,0.0,15__0,11,Business Services,Technology Services
AMPY,4,32097.30000000001,37048.649999999994,41009.729999999996,41900.973000000005,41990.0973,41999.00973000001,41999.90097300001,5,1.0,5__1,13,Oils-Energy,Oil and Gas - Exploration and Production - United States
AMR,391,11600.0,15000.0,29001.60000000007,35415.00000000002,35941.50000000002,35994.150000000016,35999.41499999994,25,0.0,25__0,9,Basic Materials,Mining - Miscellaneous
AMRC,18,11540.500000000002,17405.999999999967,32461.19999999996,35848.62000000001,36187.36200000001,36221.236199999985,36224.623620000006,15,0.0,15__0,11,Oils-Energy,Alternative Energy - Other
AMRK,87,13614.000000000007,15850.000000000002,31743.600000000028,63856.860000000066,67068.18599999996,67389.31859999988,67421.43186000017,20,0.0,20__0,10,Consumer Discretionary,Precious Metals and Jewels
AMRN,3,7716.000000000001,8170.5,8534.1,8615.91,8624.091,8624.9091,8624.99091,5,0.0,5__0,13,Medical,Medical - Biomedical and Genetics
AMRX,15,13186.999999999995,44015.999999999905,91375.19999999994,102031.02000000005,103096.60199999996,103203.16019999998,103213.81601999997,10,3.0,10__3,12,Medical,Medical - Drugs
AMSC,324,11096.0,16163.099999999982,44735.349999999984,135140.27600000156,156706.72759999847,158863.37276000195,159079.03727599725,25,0.0,25__0,9,Computer and Technology,Electronics - Miscellaneous Components
AMT,577,26224.800000000003,54574.99999999994,123342.40000000031,462405.599999994,605950.5600000056,620305.0559999974,621740.5055999934,30,1.0,30__1,8,Finance,REIT and Equity Trust - Other
AMTM,451,23400.0,51375.0,129000.0,312408.750000002,382240.87499999726,389224.08749999874,389922.4087499999,25,0.0,25__0,9,Construction,Engineering - R and D Services
AMTX,4,4949.0,4974.5,4994.9,4999.49,4999.949,4999.9949,4999.99949,5,0.0,5__0,13,Oils-Energy,Biofuels
AMWD,2,8016.0,8128.0,8217.6,8237.76,8239.776,8239.9776,8239.99776,5,0.0,5__0,13,Consumer Discretionary,Furniture
AMWL,1,5750.0,5750.0,5750.0,5750.0,5750.0,5750.0,5750.0,0,2.0,0__2,14,Medical,Medical Info Systems
AMZN,317341,17082.0,26639.999999999996,69000.0,293063.17999997764,1182038.4520000266,2542272.1470022304,3439689.755097384,55,0.0,55__0,3,Computer and Technology,Internet - Software and Services
AN,146,9870.0,16165.5,34660.50000000006,54102.029999999795,56710.20300000004,56971.02029999989,56997.10202999993,20,0.0,20__0,10,Retail-Wholesale,Automotive - Retail and Whole Sales
ANAB,302,29708.00000000009,45091.49999999996,202245.95000000013,695970.0000000003,704096.9999999999,704909.7000000012,704990.9699999989,25,2.0,25__2,9,Medical,Medical - Biomedical and Genetics
